device_trust,failed_attempts,request_frequency,network_anomaly,time_anomaly,previous_behavior,label,decision
94.69,0,3.51,1.26,2.28,98.8,NORMAL,ALLOW
2.77,11,103.33,81.42,78.95,22.55,HIGH_RISK,DENY
94.48,0,4.32,1.19,1.67,80.14,NORMAL,ALLOW
98.53,1,5.83,2.16,11.93,91.59,NORMAL,ALLOW
65.58,3,26.9,60.78,34.34,67.1,SUSPICIOUS,LIMITED
49.77,4,21.36,45.08,50.72,70.85,SUSPICIOUS,LIMITED
13.1,6,72.31,82.47,87.02,17.54,HIGH_RISK,DENY
56.65,5,23.26,49.07,24.25,63.11,SUSPICIOUS,LIMITED
100.0,0,2.23,0.33,0.61,96.22,NORMAL,ALLOW
54.51,3,42.12,51.62,18.0,53.69,SUSPICIOUS,LIMITED
48.65,2,19.89,43.43,43.43,58.9,SUSPICIOUS,LIMITED
25.43,11,87.56,87.28,85.45,15.11,HIGH_RISK,DENY
38.0,2,31.35,63.98,63.43,70.62,SUSPICIOUS,LIMITED
97.94,1,1.99,2.69,1.46,86.33,NORMAL,ALLOW
88.48,0,1.0,11.22,0.03,94.68,NORMAL,ALLOW
93.89,0,1.92,0.58,1.14,94.77,NORMAL,ALLOW
17.98,13,88.61,70.87,62.08,33.98,HIGH_RISK,DENY
53.64,5,39.31,35.34,19.03,61.31,SUSPICIOUS,LIMITED
62.66,2,30.0,49.64,56.4,51.25,SUSPICIOUS,LIMITED
56.7,2,25.91,57.98,26.14,60.7,SUSPICIOUS,LIMITED
91.67,0,1.0,2.02,2.12,97.41,NORMAL,ALLOW
100.0,0,6.64,1.29,2.23,95.3,NORMAL,ALLOW
87.58,0,3.62,2.37,3.86,96.04,NORMAL,ALLOW
54.35,6,19.96,45.19,41.02,60.92,SUSPICIOUS,LIMITED
49.18,6,34.67,44.39,37.7,57.66,SUSPICIOUS,LIMITED
18.76,8,113.3,80.08,84.29,19.82,HIGH_RISK,DENY
29.53,6,93.15,81.67,80.17,20.66,HIGH_RISK,DENY
60.08,3,20.65,41.28,34.95,58.25,SUSPICIOUS,LIMITED
13.5,13,81.66,83.98,86.62,14.74,HIGH_RISK,DENY
11.15,9,81.71,89.04,56.82,28.06,HIGH_RISK,DENY
18.81,6,78.76,90.12,75.84,10.33,HIGH_RISK,DENY
91.69,0,5.03,0.4,3.91,92.42,NORMAL,ALLOW
19.21,15,83.5,90.0,84.82,2.63,HIGH_RISK,DENY
15.74,10,87.41,72.58,67.44,29.59,HIGH_RISK,DENY
15.68,9,117.9,83.68,79.64,25.84,HIGH_RISK,DENY
99.21,0,3.95,2.26,0.24,85.04,NORMAL,ALLOW
54.1,3,22.61,55.85,49.13,39.83,SUSPICIOUS,LIMITED
13.44,9,130.4,99.03,85.04,8.59,HIGH_RISK,DENY
84.08,1,5.56,3.2,0.34,89.3,NORMAL,ALLOW
20.15,11,105.31,100.0,80.1,26.83,HIGH_RISK,DENY
91.9,0,5.36,5.58,1.14,86.06,NORMAL,ALLOW
72.0,3,28.88,43.05,54.95,72.0,SUSPICIOUS,LIMITED
90.88,0,6.31,1.68,1.27,86.65,NORMAL,ALLOW
10.69,15,48.0,75.98,73.88,24.0,HIGH_RISK,DENY
58.3,2,25.21,46.86,49.81,59.43,SUSPICIOUS,LIMITED
16.09,11,112.29,99.32,80.54,21.1,HIGH_RISK,DENY
63.77,6,24.88,34.21,26.26,48.97,SUSPICIOUS,LIMITED
54.42,2,32.53,45.63,28.31,57.35,SUSPICIOUS,LIMITED
89.63,0,6.05,0.04,2.43,87.56,NORMAL,ALLOW
89.94,0,5.93,1.67,0.16,81.04,NORMAL,ALLOW
47.47,4,26.77,36.4,25.24,55.39,SUSPICIOUS,LIMITED
56.71,2,40.87,41.79,33.31,60.41,SUSPICIOUS,LIMITED
97.02,0,7.02,1.31,1.39,95.4,NORMAL,ALLOW
0.18,10,98.1,71.17,98.04,9.95,HIGH_RISK,DENY
19.81,6,56.23,94.55,91.01,20.3,HIGH_RISK,DENY
91.67,0,3.77,4.48,7.6,93.34,NORMAL,ALLOW
0.0,10,71.37,81.66,68.18,12.77,HIGH_RISK,DENY
20.62,10,82.43,82.19,100.0,32.55,HIGH_RISK,DENY
47.46,6,31.63,43.12,34.24,61.85,SUSPICIOUS,LIMITED
92.61,0,3.76,0.66,2.79,95.64,NORMAL,ALLOW
25.05,10,48.0,76.75,85.16,15.8,HIGH_RISK,DENY
38.0,4,28.42,68.0,36.88,62.35,SUSPICIOUS,LIMITED
13.56,6,70.25,83.36,84.35,28.13,HIGH_RISK,DENY
57.51,5,40.61,65.84,43.55,61.81,SUSPICIOUS,LIMITED
92.24,0,6.71,4.51,4.05,98.63,NORMAL,ALLOW
47.91,5,19.47,61.44,20.08,57.45,SUSPICIOUS,LIMITED
93.07,0,7.03,0.7,2.73,88.73,NORMAL,ALLOW
30.25,12,108.28,81.88,84.99,16.92,HIGH_RISK,DENY
40.87,3,30.58,56.91,44.22,46.5,SUSPICIOUS,LIMITED
28.26,10,67.5,82.52,94.43,28.88,HIGH_RISK,DENY
94.93,0,8.81,2.85,2.15,87.21,NORMAL,ALLOW
90.68,0,6.22,18.0,2.16,91.6,NORMAL,ALLOW
93.07,0,3.3,0.71,4.07,99.26,NORMAL,ALLOW
23.76,10,99.3,78.18,98.42,12.5,HIGH_RISK,DENY
55.09,2,31.96,32.77,35.22,65.56,SUSPICIOUS,LIMITED
62.78,6,14.0,33.43,38.97,50.76,SUSPICIOUS,LIMITED
85.6,0,6.34,1.65,1.21,89.05,NORMAL,ALLOW
49.79,5,31.14,34.66,48.8,55.81,SUSPICIOUS,LIMITED
52.85,4,28.67,45.52,19.32,40.23,SUSPICIOUS,LIMITED
100.0,0,6.5,4.1,0.66,97.91,NORMAL,ALLOW
54.73,2,31.58,34.6,49.06,60.59,SUSPICIOUS,LIMITED
9.19,7,57.15,86.99,80.95,25.23,HIGH_RISK,DENY
92.49,2,2.23,7.44,7.81,100.0,NORMAL,ALLOW
9.89,13,102.22,87.19,65.2,24.74,HIGH_RISK,DENY
94.46,0,6.02,0.3,2.11,92.07,NORMAL,ALLOW
98.33,0,3.85,3.61,0.19,93.93,NORMAL,ALLOW
54.91,5,22.99,45.41,55.88,45.08,SUSPICIOUS,LIMITED
47.43,5,29.01,31.91,30.82,63.22,SUSPICIOUS,LIMITED
97.68,0,3.06,2.12,0.12,96.59,NORMAL,ALLOW
21.9,7,72.99,85.1,93.2,27.52,HIGH_RISK,DENY
42.7,4,17.12,46.07,48.41,51.04,SUSPICIOUS,LIMITED
48.97,4,20.76,36.01,41.64,69.42,SUSPICIOUS,LIMITED
18.88,6,96.49,82.9,92.62,23.95,HIGH_RISK,DENY
2.41,16,48.0,75.12,100.0,14.97,HIGH_RISK,DENY
86.96,0,1.99,0.77,1.21,88.36,NORMAL,ALLOW
16.48,8,61.38,81.91,68.99,19.05,HIGH_RISK,DENY
23.59,11,102.86,76.06,80.25,6.8,HIGH_RISK,DENY
51.52,4,35.24,53.68,41.61,65.14,SUSPICIOUS,LIMITED
55.85,3,15.76,48.14,45.91,68.57,SUSPICIOUS,LIMITED
20.47,6,79.25,83.54,85.55,20.73,HIGH_RISK,DENY
92.14,0,7.41,1.92,10.19,94.75,NORMAL,ALLOW
90.9,0,7.27,3.25,4.96,86.21,NORMAL,ALLOW
91.93,0,4.54,6.0,0.45,94.7,NORMAL,ALLOW
93.66,0,8.97,0.1,1.51,90.67,NORMAL,ALLOW
61.71,2,29.72,32.66,36.29,66.24,SUSPICIOUS,LIMITED
20.45,6,120.83,80.46,68.55,22.56,HIGH_RISK,DENY
48.04,2,22.4,52.41,30.81,54.83,SUSPICIOUS,LIMITED
41.64,3,21.91,41.27,68.22,63.83,SUSPICIOUS,LIMITED
95.05,0,4.48,2.91,2.6,86.35,NORMAL,ALLOW
16.83,11,83.93,76.57,62.01,20.35,HIGH_RISK,DENY
40.02,4,20.7,55.1,27.34,59.4,SUSPICIOUS,LIMITED
86.82,0,1.56,0.21,3.14,95.1,NORMAL,ALLOW
85.85,0,2.98,1.32,6.52,87.44,NORMAL,ALLOW
10.27,7,70.64,70.74,79.13,24.85,HIGH_RISK,DENY
50.82,4,16.71,48.02,54.82,47.25,SUSPICIOUS,LIMITED
89.35,0,7.88,1.15,8.7,89.1,NORMAL,ALLOW
44.0,5,26.0,35.25,43.96,58.38,SUSPICIOUS,LIMITED
55.03,2,16.99,52.29,43.96,49.23,SUSPICIOUS,LIMITED
9.93,15,73.44,87.15,71.71,38.0,HIGH_RISK,DENY
84.4,1,3.47,0.97,0.34,84.28,NORMAL,ALLOW
100.0,0,2.96,0.58,0.4,96.44,NORMAL,ALLOW
54.27,6,26.0,48.28,51.11,53.58,SUSPICIOUS,LIMITED
82.65,2,7.67,1.4,1.14,100.0,NORMAL,ALLOW
58.27,6,21.63,44.13,63.8,60.7,SUSPICIOUS,LIMITED
14.09,6,71.22,95.09,81.7,17.68,HIGH_RISK,DENY
94.36,1,3.57,0.19,2.62,90.72,NORMAL,ALLOW
19.05,9,54.26,93.49,90.84,2.65,HIGH_RISK,DENY
96.45,1,2.38,12.68,2.32,89.04,NORMAL,ALLOW
21.21,11,51.83,71.62,71.32,22.96,HIGH_RISK,DENY
56.41,5,28.5,41.59,42.56,65.67,SUSPICIOUS,LIMITED
98.54,0,4.37,1.91,9.76,93.72,NORMAL,ALLOW
91.55,0,7.22,2.22,0.12,90.6,NORMAL,ALLOW
46.22,2,31.22,42.69,39.32,70.6,SUSPICIOUS,LIMITED
88.77,0,3.51,4.46,9.18,88.56,NORMAL,ALLOW
89.35,0,2.29,0.1,1.14,88.31,NORMAL,ALLOW
16.2,8,101.3,96.33,70.88,12.56,HIGH_RISK,DENY
53.71,4,28.11,42.82,35.04,49.11,SUSPICIOUS,LIMITED
54.16,5,14.04,43.05,62.33,51.68,SUSPICIOUS,LIMITED
96.14,0,5.63,5.04,1.84,96.2,NORMAL,ALLOW
66.12,5,36.63,41.46,39.34,61.52,SUSPICIOUS,LIMITED
7.92,8,86.13,92.1,100.0,18.09,HIGH_RISK,DENY
0.81,7,91.13,87.14,80.13,31.23,HIGH_RISK,DENY
53.64,2,23.79,52.02,28.35,55.54,SUSPICIOUS,LIMITED
18.24,11,80.88,74.09,83.68,28.56,HIGH_RISK,DENY
14.35,7,100.75,90.58,80.66,11.11,HIGH_RISK,DENY
17.28,12,88.1,70.53,68.84,28.31,HIGH_RISK,DENY
54.82,6,35.22,41.4,49.33,59.82,SUSPICIOUS,LIMITED
54.02,2,26.12,61.6,28.7,62.94,SUSPICIOUS,LIMITED
99.27,0,6.42,3.9,4.18,87.17,NORMAL,ALLOW
61.81,3,22.05,60.02,40.63,56.04,SUSPICIOUS,LIMITED
89.78,0,5.07,3.6,9.95,84.64,NORMAL,ALLOW
10.43,6,78.1,83.7,70.03,20.82,HIGH_RISK,DENY
11.53,11,85.5,82.77,86.62,23.67,HIGH_RISK,DENY
6.9,11,73.96,83.99,78.85,19.93,HIGH_RISK,DENY
19.83,10,110.28,95.52,70.85,12.49,HIGH_RISK,DENY
97.6,0,7.62,1.2,0.71,100.0,NORMAL,ALLOW
52.68,6,31.12,33.49,32.56,52.79,SUSPICIOUS,LIMITED
51.24,6,22.3,42.95,64.74,53.23,SUSPICIOUS,LIMITED
17.6,11,72.84,99.02,90.79,25.22,HIGH_RISK,DENY
85.94,0,2.58,7.51,0.04,87.88,NORMAL,ALLOW
62.79,6,29.84,41.06,60.02,46.97,SUSPICIOUS,LIMITED
54.66,2,18.3,51.28,52.12,64.08,SUSPICIOUS,LIMITED
22.22,13,76.76,89.94,70.99,34.47,HIGH_RISK,DENY
66.8,5,25.45,49.62,50.18,68.11,SUSPICIOUS,LIMITED
95.25,0,3.37,3.6,4.36,91.03,NORMAL,ALLOW
97.79,0,7.48,10.82,0.45,90.91,NORMAL,ALLOW
55.33,5,19.75,52.49,27.51,57.29,SUSPICIOUS,LIMITED
99.2,0,8.46,2.88,0.16,94.14,NORMAL,ALLOW
80.49,0,4.07,2.1,5.64,89.35,NORMAL,ALLOW
92.83,0,5.65,0.26,0.76,100.0,NORMAL,ALLOW
89.14,0,3.93,3.24,0.54,94.16,NORMAL,ALLOW
54.91,2,29.31,46.14,59.74,58.16,SUSPICIOUS,LIMITED
88.99,0,1.0,3.42,0.89,91.42,NORMAL,ALLOW
14.4,6,87.52,80.46,79.07,5.78,HIGH_RISK,DENY
96.86,0,5.0,0.16,4.15,95.7,NORMAL,ALLOW
91.75,0,8.08,3.32,2.26,100.0,NORMAL,ALLOW
24.44,13,93.29,87.14,79.33,37.59,HIGH_RISK,DENY
24.02,15,93.51,88.8,69.14,17.02,HIGH_RISK,DENY
41.01,2,19.08,44.65,20.54,51.95,SUSPICIOUS,LIMITED
54.28,4,26.23,49.0,29.28,52.99,SUSPICIOUS,LIMITED
61.83,3,18.72,28.67,36.24,55.53,SUSPICIOUS,LIMITED
22.86,9,100.19,82.49,68.81,8.76,HIGH_RISK,DENY
94.3,1,4.89,2.63,15.0,92.08,NORMAL,ALLOW
23.37,13,81.12,82.17,77.2,19.14,HIGH_RISK,DENY
13.67,6,96.9,80.53,80.02,21.28,HIGH_RISK,DENY
92.03,1,4.06,0.75,4.31,86.52,NORMAL,ALLOW
95.59,0,4.46,2.03,1.67,89.9,NORMAL,ALLOW
54.1,3,21.4,22.0,55.59,59.53,SUSPICIOUS,LIMITED
99.82,0,5.57,14.02,1.42,99.48,NORMAL,ALLOW
64.06,2,31.71,26.47,40.85,72.0,SUSPICIOUS,LIMITED
26.04,6,94.76,99.32,86.06,22.38,HIGH_RISK,DENY
94.36,0,6.83,7.62,4.24,100.0,NORMAL,ALLOW
47.27,2,24.29,45.39,43.73,42.92,SUSPICIOUS,LIMITED
57.53,6,42.48,55.71,43.31,70.85,SUSPICIOUS,LIMITED
54.01,2,30.5,50.7,46.65,47.86,SUSPICIOUS,LIMITED
86.97,0,3.8,6.74,2.95,87.04,NORMAL,ALLOW
92.38,0,1.0,4.29,2.72,96.78,NORMAL,ALLOW
55.64,3,27.83,39.46,47.36,40.33,SUSPICIOUS,LIMITED
100.0,0,4.71,0.55,3.39,86.84,NORMAL,ALLOW
18.36,7,86.44,89.16,75.4,14.25,HIGH_RISK,DENY
46.79,2,23.86,49.72,34.34,72.0,SUSPICIOUS,LIMITED
25.86,8,66.76,86.33,97.1,19.38,HIGH_RISK,DENY
99.21,0,6.87,1.03,1.68,98.46,NORMAL,ALLOW
24.31,10,95.94,89.11,77.32,11.1,HIGH_RISK,DENY
38.0,2,34.0,47.55,37.47,59.03,SUSPICIOUS,LIMITED
45.09,3,23.6,45.25,33.64,63.66,SUSPICIOUS,LIMITED
59.11,4,42.8,47.38,65.79,44.6,SUSPICIOUS,LIMITED
98.36,1,6.95,6.86,2.81,86.39,NORMAL,ALLOW
21.59,11,77.21,88.05,76.17,15.78,HIGH_RISK,DENY
12.13,9,72.53,89.86,69.67,24.1,HIGH_RISK,DENY
54.55,6,32.18,48.51,34.85,69.54,SUSPICIOUS,LIMITED
62.75,2,14.0,46.72,32.84,53.54,SUSPICIOUS,LIMITED
96.26,0,5.4,10.73,5.27,90.45,NORMAL,ALLOW
20.37,8,106.55,86.61,74.43,15.11,HIGH_RISK,DENY
14.88,7,65.02,74.61,82.76,4.32,HIGH_RISK,DENY
23.75,10,72.77,89.91,76.44,38.0,HIGH_RISK,DENY
97.75,0,1.51,0.34,4.59,89.13,NORMAL,ALLOW
50.13,2,23.27,46.54,51.62,58.68,SUSPICIOUS,LIMITED
60.19,6,20.25,30.97,27.25,57.73,SUSPICIOUS,LIMITED
50.97,4,17.37,55.02,34.49,72.0,SUSPICIOUS,LIMITED
50.14,4,18.79,40.58,54.0,72.0,SUSPICIOUS,LIMITED
9.59,7,69.99,83.52,76.81,16.07,HIGH_RISK,DENY
8.15,13,98.04,88.89,64.99,20.81,HIGH_RISK,DENY
65.3,5,22.79,35.65,60.06,40.46,SUSPICIOUS,LIMITED
23.2,8,86.49,74.11,76.5,13.56,HIGH_RISK,DENY
70.79,2,30.79,39.63,51.95,48.32,SUSPICIOUS,LIMITED
20.88,8,68.1,85.08,85.42,20.69,HIGH_RISK,DENY
89.47,1,6.58,1.05,5.21,92.56,NORMAL,ALLOW
57.6,3,14.0,43.33,39.49,57.56,SUSPICIOUS,LIMITED
14.65,12,91.66,84.55,79.65,17.37,HIGH_RISK,DENY
89.84,1,3.84,10.57,0.38,97.61,NORMAL,ALLOW
50.24,4,23.42,46.63,44.75,64.04,SUSPICIOUS,LIMITED
24.8,12,101.08,80.18,76.73,16.07,HIGH_RISK,DENY
97.19,0,2.88,1.27,2.46,99.64,NORMAL,ALLOW
38.0,3,26.45,58.84,46.18,48.29,SUSPICIOUS,LIMITED
86.38,0,5.04,3.69,4.06,88.75,NORMAL,ALLOW
49.06,2,33.99,53.83,49.98,52.75,SUSPICIOUS,LIMITED
23.03,12,69.58,85.58,74.04,8.38,HIGH_RISK,DENY
93.29,0,4.81,5.72,3.66,91.83,NORMAL,ALLOW
8.62,9,48.0,92.07,75.93,22.83,HIGH_RISK,DENY
23.51,12,99.07,75.14,70.68,18.31,HIGH_RISK,DENY
93.62,0,2.38,4.34,2.96,91.05,NORMAL,ALLOW
15.85,11,84.91,75.44,62.86,11.45,HIGH_RISK,DENY
91.75,0,8.09,1.93,2.58,93.45,NORMAL,ALLOW
10.27,6,97.2,92.12,86.93,16.4,HIGH_RISK,DENY
52.16,3,24.16,38.7,30.45,56.8,SUSPICIOUS,LIMITED
12.95,11,103.48,84.39,67.6,24.87,HIGH_RISK,DENY
9.1,6,98.04,88.75,63.04,20.89,HIGH_RISK,DENY
45.97,6,20.2,40.12,38.16,51.97,SUSPICIOUS,LIMITED
95.61,0,3.32,0.17,1.76,95.55,NORMAL,ALLOW
88.11,0,5.72,2.33,2.16,93.01,NORMAL,ALLOW
83.7,0,2.55,12.03,2.59,96.87,NORMAL,ALLOW
64.23,4,37.18,30.97,60.6,59.68,SUSPICIOUS,LIMITED
67.78,2,32.18,52.85,42.82,66.63,SUSPICIOUS,LIMITED
49.16,6,20.9,40.63,32.12,63.46,SUSPICIOUS,LIMITED
9.54,12,86.42,94.8,89.96,23.35,HIGH_RISK,DENY
90.65,0,9.62,3.55,9.45,99.14,NORMAL,ALLOW
98.01,0,7.33,3.99,1.79,94.94,NORMAL,ALLOW
66.24,2,37.74,55.05,31.25,46.02,SUSPICIOUS,LIMITED
47.82,2,41.07,51.38,31.73,58.55,SUSPICIOUS,LIMITED
93.81,0,8.06,6.99,5.61,87.61,NORMAL,ALLOW
66.64,2,18.08,37.72,56.79,43.79,SUSPICIOUS,LIMITED
55.76,6,31.71,38.77,35.68,68.82,SUSPICIOUS,LIMITED
38.0,3,34.04,27.29,46.01,67.71,SUSPICIOUS,LIMITED
87.8,0,3.79,3.35,2.11,93.13,NORMAL,ALLOW
58.98,2,29.37,43.36,54.63,46.32,SUSPICIOUS,LIMITED
97.63,0,6.82,3.46,1.35,89.8,NORMAL,ALLOW
22.56,10,83.48,88.49,94.51,28.33,HIGH_RISK,DENY
92.73,0,6.61,10.23,0.2,95.49,NORMAL,ALLOW
97.4,0,1.81,10.99,0.98,81.63,NORMAL,ALLOW
90.99,0,4.83,4.27,1.49,95.33,NORMAL,ALLOW
9.75,11,79.48,83.24,83.74,27.88,HIGH_RISK,DENY
47.3,5,17.13,59.76,28.54,56.56,SUSPICIOUS,LIMITED
95.73,0,4.7,2.04,9.19,95.0,NORMAL,ALLOW
96.35,0,6.96,4.38,3.45,93.95,NORMAL,ALLOW
